"","FLF-a","FLF-b","FLF-c","iL3a-a","iL3a-b","iL3a-c","iL3-a","iL3-b","iL3-c","pfL1-a","pfL1-b","pfL1-c","ppL1-a","ppL1-b","ppL1-c","ppL3-a","ppL3-b","ppL3-c","PF-a","PF-b","PF-c","FLM-a","FLM-b","FLM-c"
"SSTP_0000000100",-0.291399070292178,-0.22031901046841,-0.205665748055283,-3.87764257092521,-2.82002049782377,-3.38731340473128,-3.78637747684758,-6.17653751475824,-4.16461639691877,-2.7202166474478,-3.19305329762033,-2.22693516327366,-1.69833661899417,-2.54260733820311,-1.9576834878624,-0.786403285951035,-0.902896662553367,-0.615107765613057,-2.49647996991685,-2.61957593447715,-3.59749576894577,-3.38678939397509,-2.06225143378619,-2.64491256980667
"SSTP_0000000300",6.3822692477302,6.38299601524014,6.47944071972416,-4.91815698230532,-3.97543126456509,-4.40907828819988,-1.20893459274043,-6.17653751475824,-3.55494088633518,-1.01302849293829,-0.531804758266235,-1.28776926938751,3.29688871084818,1.22259586389848,2.4418035099178,6.56492775833063,6.15731196144654,6.49358731297782,-1.99843862360098,-2.9632300065776,-2.73597017616342,6.99768082689379,7.59776003998835,7.2037274036846
"SSTP_0000000400",4.13090673849969,4.04144125024787,4.02399466786967,2.83184040083004,2.81015912858253,2.87835165750461,1.47632883616074,1.74553348349043,1.78733318730917,2.68553130698065,3.18472891370007,3.22921974223791,3.3463043554801,3.41055166091838,3.38136932201593,3.67168848009158,3.70992672690605,3.68337614209442,3.52317919576202,3.73211416099931,3.53719663046655,4.14194259378622,4.21764005786693,4.39335932398474
"SSTP_0000000500",7.32977049723787,7.38163298045672,7.42717941682565,8.07386385727541,8.08264110572767,8.04260205605938,8.64116655747391,8.75893831952018,8.9038928866704,9.11670825412024,8.96087558033905,8.90787753947633,8.538033028742,8.71590684723135,8.75687127994258,7.54188320112811,7.86885293979708,7.56283213374956,5.64107419954514,5.99984987438821,6.02050498362344,7.00321530400271,6.96946226532748,6.80813978441737
"SSTP_0000000600",-3.29952893705635,-3.07974927296953,-4.00660506391724,5.30389158854711,4.15244248231302,5.28480500683782,-6.30332892669286,-6.17653751475824,-5.87578196192099,-2.24505497200872,-3.33671349639469,-2.96065117117774,-3.58523939832113,-5.24321303434329,-6.83383768153057,-3.3215025237145,-3.52852187911534,-2.59124665901224,9.55538295160983,9.79214970406384,9.65992409447214,-1.8429296793752,-2.42551821553646,-2.0413403847132
"SSTP_0000000800",-2.72585301712285,-2.76029049538384,-3.69045035320335,3.07344534730168,2.98624280270953,3.16319054124749,-1.65943724099134,0.452510383455572,-1.12128172694735,-5.17281359798293,-6.86549965944171,-6.66034967362898,-3.48893233013567,-3.13095493175673,-2.74949288830625,-0.0744900552420217,-0.0480696426821575,0.0666654310292532,1.05943809832074,1.09937453102403,1.4091131469882,0.319538942238325,1.37490758345494,0.831371981883492
"SSTP_0000001300",-2.73628004731799,-2.94326696299785,-2.96135892436829,-4.43590156799968,-5.51119028034768,-5.56403774209719,-6.30332892669286,-6.17653751475824,-5.87578196192099,-5.17508186270342,-6.86549965944171,-3.85747032765354,-3.96918933073674,-2.07153147131726,-3.1244321634936,-2.70419972757268,-1.37544254665098,-3.17596396711503,-0.175789907712191,-0.159002595531972,0.0591084038118758,-6.08990463240377,-3.56739147084674,-3.70013194434695
"SSTP_0000001475",-6.81377679783683,-6.8465196080603,-6.8600508272181,-7.24073742103003,-5.51603470384362,-4.82568035078458,-3.99267066416407,-6.17653751475824,-4.29047090359507,-4.44046651747283,-6.86549965944171,-5.08249994545623,-6.29442929041625,-5.24157745739799,-6.83383768153057,-6.61254412188366,-4.8354100440912,-3.82339155617998,4.13265927316175,3.77892570629442,3.69907225804665,-3.77352292425204,-5.88563199461029,-6.01695355597791
"SSTP_0000001600",-0.88150448665085,-1.29267631344372,-1.13161938962412,1.25567096867841,0.972439192408426,1.42797330378222,-1.34833795128749,-0.153661181495609,-1.23231374026957,-0.453551976902284,-0.75571824423607,-0.636418403349879,-1.34242176409177,-0.564766598151701,-0.570889226262397,-0.573930393097432,-0.554700738920711,-0.815242748235349,-0.299605120931099,-0.18859972072228,-0.211394600403237,0.781125715010058,0.385128787645785,0.645034213523535
"SSTP_0000001700",-6.81377679783683,-2.76129443964792,-3.69672588442982,-2.48712839497803,-2.45383655829318,-1.86029850446361,-3.98724033436819,-2.72402038331817,-4.28783342569616,-3.30024546938627,-2.62488899875975,-3.20457348552849,-6.29442929041625,-3.65510849622277,-4.50218447663165,-3.80226780897205,-2.51138448446327,-2.54539307177283,-1.64833030052758,-1.85347000846708,-0.984299725079275,-3.28509837957076,-3.08129071107476,-3.21414291818827
