"","FLF-a","FLF-b","FLF-c","PF-a","PF-b","PF-c"
"SVE_0000039150",-1.65978468610889,-2.7746707603714,-0.813536301330999,-1.16843431263144,-2.38380723373337,-1.20039520350054
"SVE_0000065950",-5.35068516089656,-2.89430101457229,-3.68051175916127,-2.39794679181725,-3.13704358022884,-2.01282548980201
"SVE_0000096450",2.60519633349109,2.31443593827335,3.37101140493595,1.6310017409782,0.856069753406244,1.1880403155604
"SVE_0000100",5.5258383534781,5.16150027751867,6.21613849151827,3.11632640093826,3.76892496171918,4.07263326634848
"SVE_0000120250",-2.1734274321025,-4.46010122759803,-5.29868873974302,-1.50733620549128,-1.54290819323734,-1.39143185700695
"SVE_0000182450",-2.50663962349109,-2.00917797934416,-4.47589140339884,-2.85695132892263,-2.5969399440974,-3.98591485335437
"SVE_0000195350",0.818051050225366,1.45932323315434,-0.0559530700321222,2.00941268350327,2.0436346354243,2.06110503099605
"SVE_0000199550",0.229322191465839,-0.13228329401517,1.2792212243568,-1.77487941418201,-1.72811915248032,-2.37582251577078
"SVE_0000200",6.66716390755286,7.80316354683162,6.2092285045741,-0.123079761213137,-1.3101099304299,-1.65895804731684
"SVE_0000204650",-0.39842350797181,-0.524023925780946,0.227054915350042,-0.84413721608078,0.111854124289237,-1.00441999339422
"SVE_0000205350",3.64502546788107,3.9657031207565,3.96071651683897,-4.73722564034001,-3.92224980763842,-3.98586653820236
"SVE_0000212950",-2.35556200408042,-5.61461305213306,-3.29898683871264,-2.03500267972076,-3.14435294232376,-3.98591532614528
"SVE_0000282050",-0.974042851092197,0.394520952211421,-1.09987535738219,-4.73735437495785,-3.92224980763842,-2.55373924904034
"SVE_0000300",-5.33427225737568,2.9295220871112,-0.197315823752254,-4.7295319195141,-3.92224980763842,-3.98586632862034
"SVE_0000383350",6.0148491048367,6.55153329498525,6.42153369734874,6.09422023295001,6.42260825889927,6.15966338464057
"SVE_0000390450",-0.427529181674115,-2.62825870744634,-0.261781351243427,-1.52725691044827,-1.99179319737943,-1.24573490515236
"SVE_0000400",-2.45989344480794,-5.61461898759998,-0.792920089092505,-3.9396536117827,-3.13149484193542,-3.19719801842216
"SVE_0000434250",1.73377458715205,1.45550258246944,2.44214935109179,1.04029376239962,1.58423600393607,0.636781630357546
"SVE_0000441550",0.272510264133599,-0.750971546127222,1.72922668826414,0.97054514721591,0.28003939492006,0.728609548466828
"SVE_0000456700",0.34462252493103,-1.25117385845813,0.58781025176416,-1.2935051044229,-1.01958992060557,-0.796277307243887
"SVE_0000462850",-1.66600500437065,-1.53324004772945,-1.7590780389913,-2.79133618787455,-1.76670156296791,-1.87405474020048
"SVE_0000477750",5.84072029071314,5.38440165502162,5.19091351790227,4.13970276322207,3.91180772546754,3.96757589207203
"SVE_0000491450",-1.47549821938182,-1.9906527960142,-3.35717848651489,-2.81667782431257,-2.45957627069203,-2.92391850751995
"SVE_0000500",-4.18504308081148,-5.61461196388382,-1.77328668888298,-1.28085843229983,-2.5250601883898,-3.19148056557048
"SVE_0000524150",-1.72450953208564,-1.02880534045031,-1.15701978354911,-0.619726705157549,-2.34041000756232,-1.01228965528848
"SVE_0000525950",-1.93834833338413,-4.79670292018841,-3.5381254165959,-2.8113432730981,-3.92224980763842,-3.98586653820236
"SVE_0000526450",-0.133247017845155,0.46090955457294,-0.100958888912707,-0.123204643563915,0.545418148657544,0.0325524988645003
"SVE_0000533850",-1.80756680681586,-5.6146161903639,-2.61923701532877,-3.66080624546671,-2.5856875269941,-1.69582448441653
"SVE_0000542450",0.265392379483838,0.274104627850326,0.285398778844939,-0.173089116808276,0.255650738171733,0.265301447031135
"SVE_0000546850",6.31206056754118,6.86932908183851,6.03068320613393,5.46975759298352,5.10236565474915,4.94803663922576
"SVE_0000569350",1.96504819206251,2.77818197156971,-2.87191856321411,-0.589374553323882,-3.92228929948014,-1.77876512421901
"SVE_0000576650",2.30767397444333,1.57978370809828,2.18143696553314,-0.187876228066253,0.177273476479916,-1.39649791558913
"SVE_0000584150",1.3971451023508,1.29309617484563,0.955918247674063,1.74257905463631,2.4791182258691,2.23079972101758
"SVE_0000625150",0.367342534041172,0.576452928321505,1.35743916395152,-1.34003967431059,-0.185819033925353,-2.48705044644985
"SVE_0000662550",-4.57192887755621,-1.17401277055294,-4.50247798177115,-4.73722564034001,-3.92224980763842,-3.98586653820236
"SVE_0000663350",0.389713273994929,-0.851614764806217,-1.156997425284,-3.2146265589923,-2.22115392292867,-3.98591485841635
"SVE_0000666150",-1.64459000176659,-4.01789199688759,-1.87170410283683,-1.76961447327949,-0.647015246302377,-3.2159110722599
"SVE_0000700",6.78772994796846,6.82201606380215,6.45143956959788,7.69356238060909,8.09583964726505,8.07808671234351
"SVE_0000772150",8.84991804486074,8.52714463562546,8.46175249655289,9.91851634966207,10.5343721747534,10.608717147509
"SVE_0000775650",-1.88121877741501,-5.6146207006246,-0.619230842352624,-1.48109402543315,-2.37485340973429,-1.77033614479534
"SVE_0000800",1.24797147531416,1.89882617090182,1.24851297167253,2.25257913582337,2.32842614732877,2.3054730672332
"SVE_0000845350",-5.11880425846733,-5.61460603271863,-3.33792843630098,0.2300303190159,1.24755381706535,1.16408819085907
"SVE_0000859950",-0.262498380958165,-1.34716143113858,-2.10833378057535,-1.96091119797376,-2.53571862281131,-2.61876887433566
"SVE_0000870250",-2.46052325158289,-5.61461189570399,-3.5599958130417,-2.56515039080528,-2.34291413452967,-2.57736827889974
"SVE_0000900",1.56030342844286,1.60796509854436,1.9432162826068,1.21181338489304,0.811997291972868,1.03772919079092
