"","geneID","FLF-DRR106346","FLF-DRR106347","FLF-DRR106348","FLF-DRR106349","FLF-DRR106350","FLF-DRR106351","PF-DRR106352","PF-DRR106353","PF-DRR106354","PF-DRR106355","PF-DRR106356","PF-DRR106357","Location","Description","InterPro","GO_term","UniProtKB","GS1_homologID","GS1_percent_homology","GS2_homologID","GS2_percent_homology","GS3_homologID","GS3_percent_homology","GS4_homologID","GS4_percent_homology"
"1","SVE_0000052350",0.0630207833065375,0.0629395408591008,0.197665613495042,0.323574701261189,0.0910952660127171,0.0886054749764798,0.118816897707226,0,0,0,0,0,"SVE_scaffold0000010","Mobile element protein",NA,NA,"A0A0K0ETT0","",NA,"",NA,"",NA,"",NA
"2","SVE_0000062250",0,0,0,0,0,0,0,0,0,0,0,0,"SVE_scaffold0000011","",NA,NA,"A0A0K0ETT1","",NA,"",NA,"",NA,"",NA
"3","SVE_0000063250",0.133083614293156,0,0,0,0,0,0.0657813674711848,0.0639198510631654,0,0.0762008635028075,0,0.0702434824705,"SVE_scaffold0000011","Secreted protein",NA,"membrane","A0A0K0ETT2","",NA,"",NA,"",NA,"",NA
"4","SVE_0000115450",0,0.0644882313128439,0.20364736327733,0.0669671547687151,0.094871873403775,0.0908414176375405,0.0612651131727233,0.0602749343659612,0,0,0.125471376692086,0,"SVE_scaffold0000013","",NA,"membrane","A0A0K0ETT6","",NA,"",NA,"",NA,"",NA
"5","SVE_0000131050",0,0.126948865236928,0.0679336974419816,0,0.0951203587834435,0,0,0.0608130733475417,0.0719294082107171,0,0,0,"SVE_scaffold0000013","",NA,NA,"A0A0K0ETT8","",NA,"",NA,"",NA,"",NA
"6","SVE_0000176450",0.0645793814687988,0.0643089482745341,0,0,0,0,0,0,0,0,0,0,"SVE_scaffold0000016","Fucosyltransferase","Glyco_trans_10, GT10-like_C_sf","protein glycosylation, fucosyltransferase activity, membrane, Golgi cisterna membrane, glycosyltransferase activity, Golgi apparatus, transferase activity","A0A0K0ETT9","",NA,"SRAE_2000477350 | WBGene00265017",42.029,"",NA,"",NA
"7","SVE_0000332450",0.146419881539012,0,0,0,0,0,0,0,0,0.0741548519863717,0,0.0657657515892184,"SVE_scaffold0000024","IS4 family transposase",NA,NA,"A0A0K0ETU9","",NA,"",NA,"",NA,"",NA
"8","SVE_0000382550",0.0621323263520994,0.062425017653934,0.0650234453187956,0.0635221466418386,0,0.0878709911087681,0,0,0,0,0,0,"SVE_scaffold0000028","",NA,NA,"A0A0K0ETV0","",NA,"",NA,"",NA,"",NA
"9","SVE_0000399650",0.0731999736335711,0,0,0,0,0,0,0,0,0,0,0.0635628762976337,"SVE_scaffold0000001","",NA,NA,"A0A0K0ETV3","",NA,"",NA,"",NA,"",NA
"10","SVE_0000434133",0,0,0.19087133612609,0,0,0,0,0,0,0,0,0,"SVE_scaffold0000001","",NA,NA,"A0A0K0ETV5","",NA,"",NA,"",NA,"",NA
