SSTP_GeneID	XLOC_GeneID	XLOC_TranscriptID	Chromosome
SSTP_0001043400	XLOC_001666	TCONS_00001769.p1	Ss_chr1
SSTP_0001043400	XLOC_001666	TCONS_00004343.p1	Ss_chr1
SSTP_0001043500	XLOC_001666	TCONS_00001770.p1	Ss_chr1
SSTP_0001043500	XLOC_001666	TCONS_00004343.p1	Ss_chr1
SSTP_0001043600	XLOC_001666	TCONS_00001771.p1	Ss_chr1
SSTP_0001043600	XLOC_001666	TCONS_00004343.p1	Ss_chr1
SSTP_0001043700	XLOC_001666	TCONS_00001772.p1	Ss_chr1
SSTP_0001043700	XLOC_001666	TCONS_00004343.p1	Ss_chr1
SSTP_0001043800	XLOC_000001	TCONS_00000001.p1	Ss_chr1
SSTP_0001043900	XLOC_000002	TCONS_00000002.p1	Ss_chr1
SSTP_0001044000	XLOC_001668	TCONS_00001774.p1	Ss_chr1
SSTP_0001044000	XLOC_001668	TCONS_00004344.p1	Ss_chr1
SSTP_0001044100	XLOC_000003	TCONS_00000003.p1	Ss_chr1
SSTP_0001044200	XLOC_001669	TCONS_00001775.p1	Ss_chr1
SSTP_0001044200	XLOC_001669	TCONS_00004345.p1	Ss_chr1
SSTP_0001044300	XLOC_001669	TCONS_00001776.p1	Ss_chr1
SSTP_0001044300	XLOC_001669	TCONS_00004345.p1	Ss_chr1
SSTP_0001044400	XLOC_000004	TCONS_00000004.p1	Ss_chr1
SSTP_0001044400	XLOC_000004	TCONS_00003615.p1	Ss_chr1
SSTP_0001044500	XLOC_000004	TCONS_00000005.p1	Ss_chr1
SSTP_0001044500	XLOC_000004	TCONS_00003615.p1	Ss_chr1
SSTP_0001044600	XLOC_001670	TCONS_00001777.p1	Ss_chr1
SSTP_0001044700	XLOC_000005	TCONS_00000006.p1	Ss_chr1
SSTP_0001044900	XLOC_001671	TCONS_00001778.p1	Ss_chr1
SSTP_0001045000	XLOC_001672	TCONS_00001779.p1	Ss_chr1
SSTP_0001045000	XLOC_001672	TCONS_00004346.p1	Ss_chr1
SSTP_0001045100	XLOC_000007	TCONS_00000007.p1	Ss_chr1
SSTP_0001045100	XLOC_000007	TCONS_00003617.p1	Ss_chr1
SSTP_0001045200	XLOC_000007	TCONS_00000008.p1	Ss_chr1
SSTP_0001045200	XLOC_000007	TCONS_00003617.p1	Ss_chr1
SSTP_0001045300	XLOC_000007	TCONS_00003617.p1	Ss_chr1
SSTP_0001045400	XLOC_000008	TCONS_00000010.p1	Ss_chr1
SSTP_0001045400	XLOC_000008	TCONS_00003618.p1	Ss_chr1
SSTP_0001045500	XLOC_001673	TCONS_00001780.p1	Ss_chr1
SSTP_0001045600	XLOC_000009	TCONS_00000011.p1	Ss_chr1
SSTP_0001045600	XLOC_000009	TCONS_00003619.p1	Ss_chr1
SSTP_0001045700	XLOC_000009	TCONS_00000011.p1	Ss_chr1
SSTP_0001045700	XLOC_000009	TCONS_00003619.p1	Ss_chr1
SSTP_0001045800	XLOC_000010	TCONS_00000012.p1	Ss_chr1
SSTP_0001045900	XLOC_000011	TCONS_00000013.p1	Ss_chr1
SSTP_0001046000	XLOC_000012	TCONS_00000014.p1	Ss_chr1
SSTP_0001046100	XLOC_000013	TCONS_00000015.p1	Ss_chr1
SSTP_0001046200	XLOC_000014	TCONS_00000016.p1	Ss_chr1
SSTP_0001046200	XLOC_000014	TCONS_00003620.p1	Ss_chr1
SSTP_0001046300	XLOC_001674	TCONS_00001781.p1	Ss_chr1
SSTP_0001046500	XLOC_000015	TCONS_00000017.p1	Ss_chr1
SSTP_0001046600	XLOC_001677	TCONS_00001784.p1	Ss_chr1
SSTP_0001046600	XLOC_001677	TCONS_00004347.p1	Ss_chr1
SSTP_0001046800	XLOC_000016	TCONS_00000018.p1	Ss_chr1
SSTP_0001046900	XLOC_000017	TCONS_00000019.p1	Ss_chr1
SSTP_0001047000	XLOC_000018	TCONS_00000020.p1	Ss_chr1
SSTP_0001047100	XLOC_001679	TCONS_00001786.p1	Ss_chr1
SSTP_0001047200	XLOC_000019	TCONS_00000021.p1	Ss_chr1
SSTP_0001047300	XLOC_000020	TCONS_00000022.p1	Ss_chr1
SSTP_0001047400	XLOC_001680	TCONS_00001787.p1	Ss_chr1
SSTP_0001047500	XLOC_000021	TCONS_00000023.p1	Ss_chr1
SSTP_0001047500	XLOC_000021	TCONS_00003621.p1	Ss_chr1
SSTP_0001047600	XLOC_000021	TCONS_00000024.p1	Ss_chr1
SSTP_0001047600	XLOC_000021	TCONS_00003621.p1	Ss_chr1
SSTP_0001047700	XLOC_000022	TCONS_00000025.p1	Ss_chr1
SSTP_0001047800	XLOC_000023	TCONS_00000026.p1	Ss_chr1
SSTP_0001047900	XLOC_000024	TCONS_00000027.p1	Ss_chr1
SSTP_0001047900	XLOC_000024	TCONS_00003622.p1	Ss_chr1
SSTP_0001048000	XLOC_001681	TCONS_00001788.p1	Ss_chr1
SSTP_0001048000	XLOC_001681	TCONS_00004348.p1	Ss_chr1
SSTP_0001048100	XLOC_000025	TCONS_00003623.p1	Ss_chr1
SSTP_0001048200	XLOC_000026	TCONS_00000028.p1	Ss_chr1
SSTP_0001048300	XLOC_000027	TCONS_00000029.p1	Ss_chr1
SSTP_0001048400	XLOC_000028	TCONS_00000030.p1	Ss_chr1
SSTP_0001048400	XLOC_000028	TCONS_00003624.p1	Ss_chr1
SSTP_0001048500	XLOC_000028	TCONS_00000031.p1	Ss_chr1
SSTP_0001048500	XLOC_000028	TCONS_00003624.p1	Ss_chr1
SSTP_0001048600	XLOC_001682	TCONS_00001789.p1	Ss_chr1
SSTP_0001048700	XLOC_001683	TCONS_00001790.p1	Ss_chr1
SSTP_0001048700	XLOC_001683	TCONS_00004349.p1	Ss_chr1
SSTP_0001048800	XLOC_001683	TCONS_00001790.p1	Ss_chr1
SSTP_0001048800	XLOC_001683	TCONS_00004349.p1	Ss_chr1
SSTP_0001048900	XLOC_000029	TCONS_00000032.p1	Ss_chr1
SSTP_0001049000	XLOC_001684	TCONS_00001791.p1	Ss_chr1
SSTP_0001049000	XLOC_001684	TCONS_00004350.p1	Ss_chr1
SSTP_0001049100	XLOC_001684	TCONS_00001792.p1	Ss_chr1
SSTP_0001049100	XLOC_001684	TCONS_00004350.p1	Ss_chr1
SSTP_0001049200	XLOC_000030	TCONS_00000033.p1	Ss_chr1
SSTP_0001049300	XLOC_000031	TCONS_00000034.p1	Ss_chr1
SSTP_0001049400	XLOC_001685	TCONS_00001793.p1	Ss_chr1
SSTP_0001049400	XLOC_001685	TCONS_00004351.p1	Ss_chr1
SSTP_0001049500	XLOC_001686	TCONS_00001794.p1	Ss_chr1
SSTP_0001049600	XLOC_000032	TCONS_00000035.p1	Ss_chr1
SSTP_0001049600	XLOC_000032	TCONS_00003625.p1	Ss_chr1
SSTP_0001049700	XLOC_000032	TCONS_00000036.p1	Ss_chr1
SSTP_0001049700	XLOC_000032	TCONS_00003625.p1	Ss_chr1
SSTP_0001049800	XLOC_001687	TCONS_00001795.p1	Ss_chr1
SSTP_0001049900	XLOC_000035	TCONS_00000039.p1	Ss_chr1
SSTP_0001050000	XLOC_001689	TCONS_00001797.p1	Ss_chr1
SSTP_0001050100	XLOC_001690	TCONS_00001798.p1	Ss_chr1
SSTP_0001050200	XLOC_000036	TCONS_00000040.p1	Ss_chr1
SSTP_0000067900	XLOC_000037	TCONS_00003626.p1	Ss_chr1
SSTP_0000483384	XLOC_001693	TCONS_00001799.p1	Ss_chr1
SSTP_0000483384	XLOC_001693	TCONS_00004354.p1	Ss_chr1
SSTP_0001284600	XLOC_001693	TCONS_00004354.p1	Ss_chr1
SSTP_0000548200	XLOC_001693	TCONS_00004354.p1	Ss_chr1
SSTP_0001099900	XLOC_001698	TCONS_00001801.p1	Ss_chr1
SSTP_0001100000	XLOC_000041	TCONS_00000041.p1	Ss_chr1
SSTP_0001100000	XLOC_000041	TCONS_00003630.p1	Ss_chr1
SSTP_0001100100	XLOC_000041	TCONS_00000042.p1	Ss_chr1
SSTP_0001100100	XLOC_000041	TCONS_00003630.p1	Ss_chr1
SSTP_0001100200	XLOC_000042	TCONS_00000043.p1	Ss_chr1
SSTP_0001100300	XLOC_000043	TCONS_00000044.p1	Ss_chr1
SSTP_0001100400	XLOC_001699	TCONS_00001802.p1	Ss_chr1
SSTP_0001100500	XLOC_000044	TCONS_00000045.p1	Ss_chr1
SSTP_0001100500	XLOC_000044	TCONS_00003631.p1	Ss_chr1
SSTP_0001100600	XLOC_000044	TCONS_00000046.p1	Ss_chr1
SSTP_0001100600	XLOC_000044	TCONS_00003631.p1	Ss_chr1
SSTP_0001100700	XLOC_001700	TCONS_00001803.p1	Ss_chr1
SSTP_0001100800	XLOC_001701	TCONS_00001804.p1	Ss_chr1
SSTP_0001100800	XLOC_001701	TCONS_00004359.p1	Ss_chr1
SSTP_0001100900	XLOC_000045	TCONS_00003632.p1	Ss_chr1
