"","geneID","flL1L2-ERR1466827","flL1L2-ERR1466828","FLF-ERR1466829","FLF-ERR1466830","FLM-ERR1466831","FLM-ERR1466832","iL3-ERR1466833","iL3-ERR1466834","PF-ERR1466835","pL1L2-ERR1466836","Location","Description","InterPro","GO_term","UniProtKB","GS1_homologID","GS1_percent_homology","GS2_homologID","GS2_percent_homology","GS3_homologID","GS3_percent_homology","GS4_homologID","GS4_percent_homology"
"1","SPAL_0000000200",0,0.0554230594680588,0,0,0.0335578744857032,0.0554099624503443,0,0,0,0,"SPAL_contig0002041","Peptidase A1 domain-containing protein",NA,NA,"A0A0N5B1P6","SSTP_0001018100",23,"SRAE_2000420700 | WBGene00264436",20,"SVE_0884900",71,"",NA
"2","SPAL_0000000500",0,0,0,0,0,0,0,0,0,0,"SPAL_contig0002193","BRCT domain-containing protein",NA,NA,"A0A0N5B1P9","",NA,"",NA,"SVE_0764700",22.0974,"",NA
"3","SPAL_0000000650",0.0973816506570287,0.0555260079770055,0,0,0,0,0.0643945753686676,0.0750770434940809,0.0405910693261624,0.0659390152906737,"SPAL_contig0000429","Ovule protein",NA,NA,"A0A0N5B1Q1","",NA,"",NA,"",NA,"",NA
"4","SPAL_0000000800",0.0973483000904499,0.0542117896717107,0,0.0535259306408608,0.0337471466900523,0.168020768267489,0,0.154749896735587,0,0.0669157308733557,"SPAL_contig0000429","DDE-1 domain-containing protein",NA,NA,"A0A0N5B1Q3","",NA,"",NA,"SVE_0760600",52.6012,"",NA
"5","SPAL_0000000900",0,0.0449586931260315,0,0,0,0,0.0432752239498698,0.00857240033529042,0,0,"SPAL_contig0000986","",NA,NA,"A0A0N5CFM3","",NA,"",NA,"",NA,"",NA
"6","SPAL_0000001000",0,0,0.0403351618839718,0.0265951235460408,0,0,0,0,0,0,"SPAL_contig0002265","Thymidylate kinase",NA,NA,"A0A0N5B1Q5","",NA,"",NA,"SVE_1454200",88.9764,"",NA
"7","SPAL_0000001100",0,0.0809705257304646,0.0397911912060783,0.0539058132826045,0.0675853001220194,0.028176517459557,0,0,0.0410012696637276,0,"SPAL_contig0002265","ING domain-containing protein",NA,NA,"A0A0N5B1Q6","",NA,"",NA,"SVE_1453400",39.0511,"",NA
"8","SPAL_0000001200",0,0.0279940259131956,0,0,0,0.0272080733627547,0,0,0,0,"SPAL_contig0003159","RNase H domain-containing protein",NA,NA,"A0A0N5B1Q7","",NA,"",NA,"",NA,"",NA
"9","SPAL_0000001300",0,0.222965681068965,0.079690114639947,0.0623243774828819,0.0337314034301378,0,0.19489655297008,0.0492387979225756,0,0,"SPAL_contig0002880","RGS domain-containing protein",NA,NA,"A0A0N5B1Q8","SSTP_0000702700",40.7407,"",NA,"SVE_1474200",32.4074,"",NA
"10","SPAL_0000001400",0.0981452493319062,0.109685190409661,0.0402757939142299,0.0263713897629644,0.0668688577018238,0.0551167503282083,0.130656076356885,0.0254092062487914,0.0409869154641848,0.201190952010822,"SPAL_contig0000313","Ovule protein",NA,NA,"A0A0N5B1R0","",NA,"",NA,"",NA,"",NA
"11","SPAL_0000001500",0,0.107762268105893,0.0397137359448019,0.0538437018931016,0.0337422293453134,0.0281424595849881,0.0647925615659195,0,0,0.066417375585558,"SPAL_contig0000313","FACT complex subunit",NA,NA,"A0A0N5B1R1","SSTP_0000421300",19.9301,"",NA,"SVE_0686800",19.5804,"",NA
"12","SPAL_0000001600",0,0.0817001400260438,0.0402053600447341,0.026546943872797,0.0673179124753441,0.0555294368706093,0.130769810518196,0,0.0410487412091314,0,"SPAL_contig0000313","",NA,"membrane","A0A0N5B1R2","",NA,"",NA,"",NA,"",NA
"13","SPAL_0000002200",0,0,0,0,0,0,0,0,0,0,"SPAL_scaffold0000041","HTH_48 domain-containing protein","Mos1_HTH",NA,"A0A0N5B1R8","SSTP_0000843600",50.6849,"SRAE_X000162100 | WBGene00267194",39.726,"SVE_0684900",50.6849,"",NA
"14","SPAL_0000002300",0.097101299740288,0.054004740429027,0.119685414474277,0,0,0.0277822944181659,0.0649848392551675,0.0512196678488154,0.0408600981559499,0,"SPAL_scaffold0000041","RING-type domain-containing protein","SH2, Znf_RING, Znf_RING/FYVE/PHD","metal ion binding","A0A0N5B1R9","",NA,"",NA,"SVE_0637000",39.3548,"",NA
"15","SPAL_0000004500",0,0.0851546934877266,0.0808762877524482,0.133990820660361,0.0658079221494711,0,0.129187480039394,0.0502865215475715,0.0814778906733616,0,"SPAL_scaffold0000041","TPP_enzyme_C domain-containing protein",NA,NA,"A0A0N5B1U4","",NA,"",NA,"",NA,"",NA
"16","SPAL_0000004800",0,0,0,0,0,0,0,0,0,0,"SPAL_contig0000486","DDE_3 domain-containing protein","RNaseH_sf","nucleic acid binding","A0A0N5B1U7","SSTP_0001270000",56.7164,"",NA,"",NA,"",NA
"17","SPAL_0000007700",0,0.155972816615411,0.0405734168055934,0.0529390820807598,0,0.0829620283690913,0.262279197096287,0.207754691973652,0,0,"SPAL_contig0000874","RNase H domain-containing protein","RNaseH_domain, RNaseH-like_sf, RNaseH_sf","RNA-DNA hybrid ribonuclease activity, nucleic acid binding, RNA phosphodiester bond hydrolysis, endonucleolytic","A0A0N5B1X6","SSTP_0001074500",70.7071,"",NA,"",NA,"",NA
"18","SPAL_0000008000",0,0.0542880206807971,0,0.0269256830553688,0.033873569650971,0,0,0.0259202986786619,0,0,"SPAL_contig0000874","N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase",NA,NA,"A0A0N5B1X9","",NA,"SRAE_X000177100 | WBGene00267348",31.8408,"",NA,"",NA
"19","SPAL_0000008200",0,0,0,0,0,0,0.130747126368772,0.0767295211204718,0.0410376485015569,0,"SPAL_contig0001456","Acidic leucine-rich nuclear phosphoprotein 32-related protein 2-like",NA,NA,"A0A0N5B1Y0","",NA,"",NA,"",NA,"",NA
"20","SPAL_0000008400",0,0.0807422357303758,0,0.134970694508796,0,0,0.0647081052498832,0,0,0,"SPAL_contig0001470","","Peptidase_aspartic_dom_sf",NA,"A0A0N5B1Y2","SSTP_0000876550",0,"",NA,"",NA,"",NA
"21","SPAL_0000008500",0,0.0618528233374272,0,0.0893099093023232,0.0676484618391421,0.0283100718272816,0,0,0,0.0911486579022436,"SPAL_contig0001470","Peptidase_M23 domain-containing protein",NA,NA,"A0A0N5B1Y3","",NA,"",NA,"",NA,"",NA
"22","SPAL_0000011200",0,0,0,0,0,0,0,0,0,0,"SPAL_contig0002499","Histone-lysine N-methyltransferase SETMAR","RNaseH_sf","nucleic acid binding","A0A0N5B209","",NA,"",NA,"SVE_1851800",66.6667,"",NA
"23","SPAL_0000011300",0,0,0,0,0,0.0245657953415978,0.0419398053853633,0,0.128983943363889,0,"SPAL_contig0002499","MADF domain-containing protein",NA,NA,"A0A0N5B210","",NA,"",NA,"",NA,"",NA
"24","SPAL_0000012000",0,0,0.0614375244888812,0.0420732503987415,0.0164021831554257,0,0.192329308963116,0.441382849928118,0,0,"SPAL_contig0000499","Reverse transcriptase domain-containing protein",NA,NA,"A0A0N5B217","",NA,"",NA,"",NA,"",NA
"25","SPAL_0000012200",0,0.109240817604102,0,0.0265747663915391,0.0337023293189473,0,0,0.0256373317537983,0.0411236399049913,0.134525401263668,"SPAL_contig0000499","Transposase",NA,NA,"A0A0N5B219","",NA,"",NA,"SVE_1317600",65.3543,"",NA
"26","SPAL_0000012300",0,0.0286055854895703,0,0.0270064341797774,0,0,0.063731062754487,0.0248724175124284,0,0,"SPAL_contig0000499","",NA,NA,"A0A0N5B220","",NA,"",NA,"SVE_1246100",8.69565,"",NA
"27","SPAL_0000014600",0.097912584407379,0.218475641642028,0,0.0267550691831502,0,0.0568754440729675,0,0.025809570058934,0,0,"SPAL_contig0000469","Prohibitin",NA,NA,"A0A0N5B243","",NA,"",NA,"",NA,"",NA
"28","SPAL_0000014800",0,0,0,0,0,0,0,0.0773678391084514,0.0825208612011402,0,"SPAL_contig0000416","",NA,NA,"A0A0N5B245","",NA,"",NA,"",NA,"",NA
"29","SPAL_0000014900",0,0.02690783479562,0.0396230559512221,0.0541379394246906,0.0676270953972301,0.0565629915578142,0.194020426191381,0.259669391879982,0,0,"SPAL_contig0000416","Reverse transcriptase domain-containing protein","Peptidase_aspartic_dom_sf, Rev_trsase/Diguanyl_cyclase, DNA/RNA_pol_sf",NA,"A0A0N5B246","",NA,"",NA,"SVE_0761000",3.81818,"",NA
"30","SPAL_0000015200",0,0.0449586931260315,0,0,0,0,0.0432752239498698,0.00857240033529042,0,0,"SPAL_contig0000652","",NA,NA,"A0A0N5CFM3","",NA,"",NA,"",NA,"",NA
"31","SPAL_0000015400",0,0.0274782787320318,0,0.0266151181678913,0,0,0,0.109219100780697,0.0413003191291403,0,"SPAL_scaffold0000048","HTH_48 domain-containing protein","HTH_11, WH-like_DNA-bd_sf, Mos1_HTH",NA,"A0A0N5B251","",NA,"",NA,"SVE_2015500",29.4118,"",NA
"32","SPAL_0000015500",0,0.0548464294657489,0,0,0,0,0,0.0917380398920128,0,0.0666625178852773,"SPAL_scaffold0000048","Histone-lysine N-methyltransferase SETMAR","RNaseH_sf","nucleic acid binding","A0A0N5B252","SSTP_0000004800",55.5556,"",NA,"",NA,"",NA
"33","SPAL_0000017775",0.0482720917571674,0.242581573351221,0,0,0.0674482446597698,0.0281017894000513,0,0.284260514488516,0.0409337450136628,0.06647050500582,"SPAL_contig0000236","7TM_GPCR_Srx domain-containing protein",NA,"membrane","A0A0N5B275","",NA,"",NA,"",NA,"",NA
